id,name,shortName,tla
768,Slovakia,Slovakia,SVK
769,Mexico,Mexico,MEX
770,England,England,ENG
771,United States,USA,USA
772,South Korea,Korea Republic,KOR
773,France,France,FRA
774,South Africa,South Africa,RSA
775,Greece,Greece,GRE
776,Nigeria,Nigeria,NGA
777,Slovenia,Slovenia,SVN
778,Algeria,Algeria,ALG
779,Australia,Australia,AUS
780,Serbia,Serbia,SRB
781,Cameroon,Cameroon,CMR
782,Denmark,Denmark,DEN
783,New Zealand,New Zealand,NZL
784,Italy,Italy,ITA
788,Switzerland,Switzerland,SUI
789,Honduras,,
790,Ukraine,Ukraine,UKR
791,Ecuador,Ecuador,ECU
792,Sweden,Sweden,SWE
793,Costa Rica,Costa Rica,CRC
794,Poland,Poland,POL
795,Trinidad and Tobago,,
796,Serbia and Montenegro,,
797,Angola,Angola,ANG
798,Czechia,Czechia,CZE
799,Croatia,Croatia,CRO
800,Togo,Togo,TOG
801,Saudi Arabia,Saudi Arabia,KSA
802,Tunisia,Tunisia,TUN
803,Turkey,Turkey,TUR
804,Senegal,Senegal,SEN
805,Belgium,Belgium,BEL
806,Ireland,Ireland,IRL
808,Russia,Russia,RUS
809,FC Penafiel,Penafiel,PEN
810,Boavista FC,Boavista,BOA
811,Romania,Romania,ROU
812,Yugoslavia,,
813,Norway,Norway,NOR
814,Scotland,Scotland,SCO
815,Morocco,Morocco,MAR
816,Austria,Austria,AUT
817,Bulgaria,Bulgaria,BUL
818,Colombia,Colombia,COL
819,Jamaica,Jamaica,JAM
820,Bolivia,Bolivia,BOL
821,West Germany,,
822,Czechoslovakia,,
823,USSR,,
825,Egypt,Egypt,EGY
827,Hungary,Hungary,HUN
828,Canada,Canada,CAN
829,Northern Ireland,North. Ireland,NIR
830,El Salvador,,
832,Peru,Peru,PER
833,Wales,Wales,WAL
834,DDR,,
835,Zaire,,
836,Haiti,Haiti,HAI
838,Cuba,,
839,Dutch East Indies,,
840,Iran,Iran,IRN
842,FK Dynamo Kyiv,Dynamo Kyiv,DYN
850,FK Partizan Beograd,Partizan,PAR
851,Club Brugge KV,Club Brugge,CLU
882,FK Rubin Kazan,Rubin Kazan,RUB
884,Maccabi Haifa FC,Maccabi Haifa,MHA
889,Rosenborg BK,Rosenborg,RBK
907,AC Sparta Praha,Sparta Praha,SPP
910,Omonia Nicosia,,ONI
916,Inter Baku,,
